itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.57459337,0.4910349,1.0,1.0
2,1,-1.0543212,-1.148655,1.0,1.0
3,2,-0.7656342,-0.70777595,1.0,1.0
4,3,1.7660565,1.7591288,1.0,1.0
5,4,-2.2282093,-2.2507882,1.0,1.0
6,5,-2.686479,-2.7099586,1.0,1.0
7,6,0.9559434,0.9602241,1.0,1.0
8,7,-0.063918084,0.08486147,1.0,1.0
9,8,-0.7531819,-0.9154317,1.0,1.0
10,9,2.1447825,2.0787811,1.0,1.0
11,10,0.7266087,0.7491701,1.0,1.0
12,11,-0.6752343,-0.6395915,1.0,1.0
13,12,0.47628224,0.45760003,1.0,1.0
14,13,-0.04399621,-0.089327626,1.0,1.0
15,14,0.8897059,0.74252164,1.0,1.0
16,15,-0.3999622,-0.4807492,1.0,1.0
17,16,-1.5879091,-1.70383,1.0,1.0
18,17,0.38903975,0.5550759,1.0,1.0
19,18,-1.2683605,-1.3033549,1.0,1.0
20,19,0.7819028,0.71267486,1.0,1.0
21,20,1.2040049,1.2151818,1.0,1.0
22,21,-0.8473069,-0.809795,1.0,1.0
23,22,-0.92549115,-1.0146037,1.0,1.0
24,23,1.2973616,1.3824686,1.0,1.0
25,24,-1.4441278,-1.373272,1.0,1.0
26,25,1.0166458,0.9511824,1.0,1.0
27,26,0.18520243,0.06200839,1.0,1.0
28,27,-0.500453,-0.53331697,1.0,1.0
29,28,-0.59884715,-0.6961975,1.0,1.0
30,29,0.1777624,0.11506095,1.0,1.0
31,30,0.44936675,0.3727429,1.0,1.0
32,31,-0.59416103,-0.5162039,1.0,1.0
33,32,0.20100567,0.1376024,1.0,1.0
34,33,0.51466554,0.5216854,1.0,1.0
35,34,-0.29025522,-0.4128741,1.0,1.0
36,35,-0.374188,-0.3654651,1.0,1.0
37,36,1.0996792,1.0995544,1.0,1.0
38,37,0.4045058,0.23583266,1.0,1.0
39,38,-0.033543393,-0.1824227,1.0,1.0
40,39,0.9272421,0.87603396,1.0,1.0
41,40,0.71294725,0.73396456,1.0,1.0
42,41,-0.7465833,-0.77771246,1.0,1.0
43,42,0.6782556,0.62338406,1.0,1.0
44,43,0.90052915,0.9336905,1.0,1.0
45,44,-0.8389431,-0.8491056,1.0,1.0
46,45,1.0222692,0.92581284,1.0,1.0
47,46,-0.5132491,-0.47215617,1.0,1.0
48,47,1.1221154,1.1314739,1.0,1.0
49,48,-0.6840193,-0.7094831,1.0,1.0
50,49,-0.700096,-0.61482465,1.0,1.0
